time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059924908538362,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061063624140041,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0066757202148437,0.0,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0089645385742187,0.011301040649414,0.0213146209716796,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060541712822605,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0075340270996093,0.0,0.0057220458984375,0.0057220458984375,0.0045299530029296,0.0045299530029296,0.0099658966064453,0.0115394592285156,0.0213623046875,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063759265559734,0.008559226989746,0.0107288360595703,0.0107288360595703,0.0,0.006103515625,0.0,0.0095367431640625,0.0095367431640625,0.0047900459983132,0.0081062316894531,0.0085353851318359,0.0111738840738932,0.0281810760498046,0.496,1.36,0.0,0.0,11.968,12.008,122.384,0.0,0.0,127.496,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061464309692382,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0064849853515625,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0086307525634765,0.0118255615234375,0.0224590301513671,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060009956359863,0.0078916549682617,0.0083446502685546,0.0083446502685546,0.0,0.0067710876464843,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.012063980102539,0.0111103057861328,0.0268459320068359,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060915946960449,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061348303040461,0.0085830688476562,0.0071048736572265,0.005960464477539,0.0,0.0064108106825086,0.0,0.010848045349121,0.0136137008666992,0.0083446502685546,0.0083446502685546,0.0081539154052734,0.0102411616932262,0.0229835510253906,1.344,2.208,0.0,0.0,14.488,15.576,113.256,0.0,0.0,1.192,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061360164661312,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0062942504882812,0.0,0.0112056732177734,0.0112056732177734,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0111579895019531,0.0211238861083984,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060861976585577,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0061353047688802,0.0,0.0081062316894531,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0084877014160156,0.0113646189371744,0.0276565551757812,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,0.0,1.192,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059830015571556,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0059127807617187,0.0,0.0090599060058593,0.0090599060058593,0.0050067901611328,0.0060558319091796,0.0073909759521484,0.0112533569335937,0.0210285186767578,0.496,1.36,0.0,0.0,4.232,3.744,117.192,0.0,0.0,40.176,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066966545291063,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0063180923461914,0.0,0.0116825103759765,0.0116825103759765,0.0042752449556907,0.0054836273193359,0.0086545944213867,0.0111579895019531,0.0250577926635742,0.496,1.424,0.0,0.0,7.736,8.264,128.896,0.0,0.0,1325.992,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065124034881591,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064802169799804,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.0060558319091796,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0076770782470703,0.0122547149658203,0.0225067138671875,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064550940670184,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0071525573730468,0.0,0.009775161743164,0.009775161743164,0.0085830688476562,0.0085830688476562,0.0102043151855468,0.011444091796875,0.0214576721191406,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059029151653421,0.0080585479736328,0.0069141387939453,0.0069141387939453,0.0,0.0063691820417131,0.0,0.0073909759521484,0.0073909759521484,0.0054836273193359,0.0059127807617187,0.0082731246948242,0.0109225511550903,0.0269412994384765,0.496,1.36,0.0,0.0,11.44,12.536,121.496,0.0,0.0,10.92,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058825653378326,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0064373016357421,0.0,0.0176429748535156,0.0176429748535156,0.0048478444417317,0.0054359436035156,0.0078678131103515,0.0102996826171875,0.0193119049072265,0.496,1.424,0.0,0.0,4.232,3.744,118.448,0.0,0.0,15.832,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063950205084138,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0060319900512695,0.0,0.0123977661132812,0.0123977661132812,0.004589557647705,0.0055551528930664,0.008392333984375,0.0109195709228515,0.0252008438110351,0.496,1.424,0.0,0.0,7.736,8.264,122.872,0.0,0.0,169.072,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060391426086425,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0042915344238281,0.0,0.0042915344238281,0.0119209289550781,0.0119209289550781,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.496,1.424,0.848,0.848,0.0,0.0,112.0,0.0073909759521484,0.0073909759521484,2.056,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062382221221923,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.0119209289550781,0.0070571899414062,0.0119209289550781,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0089645385742187,0.0110626220703125,0.0207424163818359,0.496,1.392,0.848,0.848,4.232,3.744,112.0,0.0057220458984375,0.0057220458984375,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006113052368164,0.0083684921264648,0.0066757202148437,0.0066757202148437,0.0,0.0065326690673828,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0087261199951171,0.0123023986816406,0.0227928161621093,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006115436553955,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0062942504882812,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0081539154052734,0.01068115234375,0.0195980072021484,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059474166946031,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0058650970458984,0.0,0.0052452087402343,0.0052452087402343,0.0078678131103515,0.0078678131103515,0.008249282836914,0.0107288360595703,0.0274658203125,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,0.0,1.192,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060415267944335,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.006270408630371,0.0,0.0095367431640625,0.0095367431640625,0.0088214874267578,0.0088214874267578,0.0083923339843749,0.0111818313598632,0.0287771224975585,0.496,1.36,0.0,0.0,7.736,8.264,112.696,0.0,0.0,1.192,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061977143381156,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0069737434387207,0.0084161758422851,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,122.912,0.0,0.0,9.984,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060481183669146,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.006103515625,0.0077247619628906,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,123.952,0.0,0.0,13.912,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060506127960053,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0060558319091796,0.0,0.0052452087402343,0.0052452087402343,0.0063180923461914,0.006413459777832,0.0077724456787109,0.0124931335449218,0.0232696533203125,0.496,1.424,0.0,0.0,4.232,3.744,114.344,0.0,0.0,4.48,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059521198272705,0.0078916549682617,0.0073909759521484,0.0073909759521484,0.0,0.0062942504882812,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.008392333984375,0.0109195709228515,0.0275135040283203,0.496,1.424,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062537193298339,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0,0.0064739814171424,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0094890594482421,0.0108550576602711,0.0272750854492187,0.496,1.36,0.0,0.0,10.912,13.064,112.0,0.0,0.0,0.0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060257033922185,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0060558319091796,0.0,0.0083446502685546,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0079631805419921,0.0104665756225585,0.0263929367065429,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,0.0,1.192,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059948631780064,0.0081062316894531,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006103990089834,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060653686523437,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.0071525573730468,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.010538101196289,0.0118255615234375,0.0229835510253906,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062314475454935,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0060081481933593,0.0,0.0085830688476562,0.0085830688476562,0.0071525573730468,0.0094413757324218,0.008392333984375,0.0113964080810546,0.0290155410766601,0.496,1.36,0.0,0.0,8.464,7.488,130.824,0.0,0.0,20.36,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006084394927072,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.006421407063802,0.0,0.00762939453125,0.00762939453125,0.005801518758138,0.0063419342041015,0.0084877014160156,0.011142094930013,0.0266551971435546,0.496,1.424,0.0,0.0,11.968,12.008,120.32,0.0,0.0,17.608,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060069561004638,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.006413459777832,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0086069107055664,0.0109434127807617,0.0259160995483398,0.496,1.424,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060494266339202,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060102832851125,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060985584070186,0.0081062316894531,0.0082254409790039,0.0067949295043945,0.0,0.0072002410888671,0.0,0.008702278137207,0.0099420547485351,0.0071525573730468,0.0073432922363281,0.0090599060058593,0.012063980102539,0.0232696533203125,1.344,2.208,0.0,0.0,4.232,3.744,118.448,0.0,0.0,11.888,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060665607452392,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0061511993408203,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0086307525634765,0.0116348266601562,0.029301643371582,0.496,1.424,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0.0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060486793518066,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0,0.0060399373372395,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0081539154052734,0.0109831492106119,0.0266551971435546,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061977256848974,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0059366226196289,0.0,0.0095367431640625,0.0095367431640625,0.0043187822614397,0.0062465667724609,0.0077486038208007,0.0108957290649414,0.0261545181274414,0.496,1.36,0.0,0.0,7.736,8.264,143.152,0.0,0.0,407.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060304480405589,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0042093211206896,0.0050544738769531,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.0,672.992,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074145817520594,0.0102519989013671,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0038600914219568,0.0045299530029296,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,0.0,41434.04,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069331173873066,0.009775161743164,0.013589859008789,0.013589859008789,0.0,0.0058174133300781,0.0,0.0207424163818359,0.0207424163818359,0.0078678131103515,0.0078678131103515,0.0072956085205078,0.0110626220703125,0.0214099884033203,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061312718177909,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0,0.0060796737670898,0.0,0.0092983245849609,0.0092983245849609,0.0064373016357421,0.0064373016357421,0.0081777572631835,0.010991096496582,0.0293970108032226,0.496,1.424,0.0,0.0,8.464,7.488,113.256,0.0,0.0,1.192,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060904026031494,0.0078678131103515,0.011444091796875,0.011444091796875,0.0,0.0067075093587239,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0092506408691406,0.0110308329264322,0.028085708618164,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060951709747314,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0058889389038085,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0083446502685546,0.0108242034912109,0.0245571136474609,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061434094268496,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.009775161743164,0.010538101196289,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.16,0.0,0.0,5.584,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060375999001895,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0057816505432128,0.0076532363891601,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,128.448,0.0,0.0,17.376,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059948631780064,0.00762939453125,0.011444091796875,0.011444091796875,0.0078678131103515,0.0065803527832031,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0068460191999162,0.009775161743164,0.0085353851318359,0.0116348266601562,0.0216484069824218,0.496,1.424,0.848,0.848,4.232,3.744,113.256,35.01248359680176,35.01248359680176,36.6,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058027049202231,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0131130218505859,0.0060796737670898,0.0131130218505859,0.0102519989013671,0.0102519989013671,0.0052452087402343,0.0052452087402343,0.0084161758422851,0.0111103057861328,0.0287055969238281,0.496,1.424,0.848,0.848,8.464,7.488,113.256,35.00819206237793,35.00819206237793,1.192,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058845501040937,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0063419342041015,0.0,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0061988830566406,0.0090599060058593,0.011142094930013,0.0274658203125,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,0.0,1.192,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060594081878662,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606002807617,0.0081062316894531,0.009775161743164,0.009775161743164,0.0,0.006413459777832,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0089168548583984,0.0111579895019531,0.027322769165039,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061297416687011,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006020647808186,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0064849853515625,0.0,0.0104904174804687,0.0104904174804687,0.0063578287760416,0.0090599060058593,0.0087261199951171,0.0111579895019531,0.0208854675292968,0.496,1.36,0.0,0.0,4.232,3.744,139.216,0.0,0.0,30.16,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006017400257623,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0,0.005960464477539,0.0,0.0100135803222656,0.0100135803222656,0.0071525573730468,0.0071525573730468,0.00762939453125,0.0106334686279296,0.0199794769287109,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061016177656638,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0061829884847005,0.0,0.0073909759521484,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0087261199951171,0.0113169352213541,0.0269412994384765,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,0.0,1.192,1
