time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062744791914777,0.0084877014160156,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0040425863175738,0.0,0.0063419342041015,0.0047683715820312,0.0081539154052734,0.0120162963867187,0.02288818359375,0.496,1.36,0.0,0.0,0.0,133.32,3.744,4.232,0.0,3417.464,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061870801566851,0.0083446502685546,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.006028584071568,0.0,0.0064373016357421,0.006866455078125,0.008249282836914,0.0119209289550781,0.02288818359375,0.496,1.424,0.0,0.0,0.0,118.448,3.744,4.232,0.0,20.296,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065742152752262,0.0090599060058593,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0044995165885762,0.0,0.0062465667724609,0.0054836273193359,0.0083684921264648,0.0105857849121093,0.023818016052246,0.496,1.424,0.0,0.0,0.0,117.264,8.264,7.736,0.0,632.144,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066152259485045,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0043559718776393,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.632,0.0,0.0,0.0,1105.2,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065748964376117,0.0090599060058593,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0044440114220907,0.0,0.0,0.0053644180297851,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.632,0.0,0.0,0.0,403.36,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064752588224648,0.0088214874267578,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0044092347350301,0.0,0.0,0.0050544738769531,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.632,0.0,0.0,0.0,501.64,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066092951380791,0.0095367431640625,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0044955147637261,0.0,0.0061988830566406,0.0052452087402343,0.0078201293945312,0.0105857849121093,0.0197410583496093,0.496,1.392,0.0,0.0,0.0,114.6,3.744,4.232,0.0,547.344,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065435277353418,0.0090599060058593,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0043997243672859,0.0,0.0061988830566406,0.0052928924560546,0.0080108642578125,0.0107288360595703,0.0192165374755859,0.496,1.424,0.0,0.0,0.0,118.448,3.744,4.232,0.0,809.8,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065175613554397,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.004471802129978,0.0,0.0061273574829101,0.0054597854614257,0.0081539154052734,0.0106334686279296,0.025343894958496,0.496,1.424,0.0,0.0,0.0,116.592,8.264,7.736,0.0,516.656,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006342878436098,0.0087976455688476,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0047584374745686,0.0,0.0,0.0063896179199218,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,118.448,0.0,0.0,0.0,205.312,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062285371087676,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0050251300518329,0.0,0.0,0.0070571899414062,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,117.192,0.0,0.0,0.0,146.808,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062060000291511,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0046443939208984,0.0,0.0,0.0061988830566406,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,117.192,0.0,0.0,0.0,223.128,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063163131030637,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0047206878662109,0.0,0.0060558319091796,0.0063896179199218,0.0079631805419921,0.0107765197753906,0.020456314086914,0.496,1.392,0.0,0.0,0.0,114.856,3.744,4.232,0.0,46.536,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060458681476649,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0041287119795636,0.0,0.0063419342041015,0.0052452087402343,0.0075817108154296,0.0105857849121093,0.0194072723388671,0.496,1.424,0.0,0.0,0.0,117.192,3.744,4.232,0.0,411.528,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062862245163114,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.004887580871582,0.0,0.0062942504882812,0.006103515625,0.0083684921264648,0.0111341476440429,0.0230312347412109,0.496,1.424,0.0,0.0,0.0,116.592,8.264,7.736,0.0,14.528,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065624123752707,0.0090360641479492,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0040618740782445,0.0,0.0,0.0047683715820312,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,118.448,0.0,0.0,0.0,2504.216,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069578095237807,0.009775161743164,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0157356262207031,0.0157356262207031,0.0039364012189331,0.0,0.0,0.0047683715820312,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,118.448,0.0,0.0,0.0,14772.192,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063886689902538,0.0088214874267578,0.0073432922363281,0.0061988830566406,0.0,0.0,0.0,0.0123977661132812,0.0135421752929687,0.004036860032515,0.0,0.0,0.0048398971557617,0.0,0.0,0.0,1.344,2.272,0.0,0.0,0.0,117.192,0.0,0.0,0.0,973.696,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061309337615966,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060617923736572,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0069618225097656,0.0,0.0093460083007812,0.0116825103759765,0.0216484069824218,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062155723571777,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0078201293945312,0.0,0.0102996826171875,0.0124454498291015,0.0237941741943359,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062036277049809,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0078678131103515,0.0,0.0061988830566406,0.0078678131103515,0.0086784362792968,0.0107526779174804,0.0248908996582031,0.496,1.36,0.0,0.0,0.0,113.256,8.264,7.736,0.0,1.192,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062119308395765,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063613872622969,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.005960464477539,0.0,0.0,0.005960464477539,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061714649200439,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060904026031494,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0072479248046875,0.0,0.009012222290039,0.0114917755126953,0.0216484069824218,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060904026031494,0.0083446502685546,0.00762939453125,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0069141387939453,0.0081062316894531,0.0081062316894531,0.0,0.0069141387939453,0.0066280364990234,0.0,0.0088214874267578,0.0109672546386718,0.0204086303710937,0.496,1.36,0.0,0.848,0.848,112.0,3.744,4.232,0.0,0.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062072277069091,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0065803527832031,0.0,0.0090360641479492,0.0110387802124023,0.0273466110229492,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060850114964727,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0083446502685546,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061810906253643,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0069141387939453,0.0057220458984375,0.0100135803222656,0.0100135803222656,0.0088214874267578,0.0057220458984375,0.0,0.0088214874267578,0.0,0.0,0.0,0.496,1.36,0.0,0.848,0.848,113.256,0.0,0.0,0.0,1.192,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063352916964251,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061464309692382,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.005960464477539,0.0,0.0075340270996093,0.011301040649414,0.0212669372558593,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063788890838623,0.0090599060058593,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0065803527832031,0.0,0.0085353851318359,0.0117778778076171,0.0224113464355468,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060129165649414,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0061750411987304,0.0,0.008392333984375,0.0123977661132812,0.0285863876342773,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006108283996582,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062795420784262,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0092983245849609,0.0,0.0,0.0092983245849609,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064468383789062,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.696,0.0,0.0,0.0,1.192,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061858352737047,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0047683715820312,0.0,0.0060081481933593,0.0047683715820312,0.0074386596679687,0.0117778778076171,0.0220298767089843,0.496,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062346458435058,0.0090599060058593,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0060081481933593,0.0,0.0077247619628906,0.011444091796875,0.021219253540039,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063705444335937,0.0083446502685546,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0063896179199218,0.0,0.0081777572631835,0.0103712081909179,0.0235319137573242,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062549114227294,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061047077178955,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061300856557058,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0085830688476562,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062261647845975,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0088214874267578,0.0,0.0075817108154296,0.0088214874267578,0.0107288360595703,0.0118255615234375,0.0229835510253906,0.496,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061858352737047,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0045299530029296,0.0,0.0061511993408203,0.0045299530029296,0.0079154968261718,0.0109195709228515,0.0206470489501953,0.496,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061964988708496,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0063180923461914,0.0,0.008702278137207,0.0110864639282226,0.0256299972534179,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061357021331787,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062942504882812,0.0086069107055664,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063748035616087,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0046312808990478,0.0,0.0,0.0064611434936523,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,143.152,0.0,0.0,0.0,334.368,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068350593642433,0.0092983245849609,0.0107526779174804,0.0079870223999023,0.0,0.0,0.0,0.0106096267700195,0.0110864639282226,0.0042772578622052,0.0,0.006103515625,0.0054836273193359,0.0079631805419921,0.0104427337646484,0.019073486328125,1.344,2.272,0.0,0.0,0.0,117.808,3.744,4.232,0.0,1436.616,0
