time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0066757202148437,0.0066757202148437,0.0060081481933593,0.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0075340270996093,0.0115394592285156,0.0219345092773437,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0085830688476562,0.0085830688476562,0.0061273574829101,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0086307525634765,0.0115394592285156,0.0314712524414062,0.496,1.36,0.0,0.0,115.64,7.488,8.464,53.848,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.00762939453125,0.00762939453125,0.0062465667724609,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0085830688476562,0.0116984049479166,0.028848648071289,0.496,1.36,0.0,0.0,115.64,12.008,11.968,53.848,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.0060796737670898,0.0,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0077486038208007,0.0118970870971679,0.0274181365966796,0.496,1.36,0.0,0.0,115.64,8.264,7.736,53.848,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0112056732177734,0.0112056732177734,0.0065803527832031,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0088214874267578,0.012063980102539,0.0235557556152343,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.005960464477539,0.005960464477539,0.0061273574829101,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0082015991210937,0.011754035949707,0.029611587524414,0.496,1.36,0.0,0.0,115.64,7.488,8.464,53.848,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0061988830566406,0.0061988830566406,0.0061648232596261,0.0,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0082731246948242,0.0117272138595581,0.0289678573608398,0.496,1.36,0.0,0.0,115.64,12.536,11.44,53.848,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0064849853515625,0.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0087261199951171,0.0113964080810546,0.0273704528808593,0.496,1.36,0.0,0.0,115.64,8.264,7.736,53.848,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0066757202148437,0.0066757202148437,0.0069618225097656,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0098705291748046,0.0116348266601562,0.0220298767089843,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0083684921264648,0.0111341476440429,0.029158592224121,0.496,1.36,0.0,0.0,115.64,7.488,8.464,53.848,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.0063101450602213,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.009012222290039,0.0110944112141927,0.028848648071289,0.496,1.36,0.0,0.0,115.64,12.008,11.968,53.848,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.006413459777832,0.0042915344238281,0.0069141387939453,0.0042915344238281,0.0069141387939453,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0110864639282226,0.0264406204223632,0.496,1.36,0.848,0.848,115.64,8.264,7.736,53.848,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0,0.0,0.0,0.0106096267700195,0.0107049942016601,0.0,0.0,0.0,1.344,2.208,0.0,0.0,115.64,0.0,0.0,53.848,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0061988830566406,0.0061988830566406,0.0,0.0109672546386718,0.0090599060058593,0.0109672546386718,0.0090599060058593,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.496,1.36,0.848,0.848,115.64,0.0,0.0,53.848,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.0064373016357421,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0081062316894531,0.0118732452392578,0.0237941741943359,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0088214874267578,0.0088214874267578,0.0058889389038085,0.0,0.0,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0081777572631835,0.0120401382446289,0.030064582824707,0.496,1.36,0.0,0.0,115.64,7.488,8.464,53.848,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.00762939453125,0.00762939453125,0.0061353047688802,0.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0081062316894531,0.0110944112141927,0.02899169921875,0.496,1.36,0.0,0.0,115.64,12.008,11.968,53.848,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0071525573730468,0.0071525573730468,0.006270408630371,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0088214874267578,0.0116825103759765,0.0263214111328125,0.496,1.36,0.0,0.0,115.64,8.264,7.736,53.848,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0066757202148437,0.0066757202148437,0.0075817108154296,0.0,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0118732452392578,0.0108718872070312,0.0203609466552734,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0061988830566406,0.0061988830566406,0.0063578287760416,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0079154968261718,0.0116174871271306,0.0300407409667968,0.496,1.36,0.0,0.0,115.64,8.016,7.936,53.848,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0064531962076822,0.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0089645385742187,0.010840098063151,0.0270843505859375,0.496,1.36,0.0,0.0,115.64,12.008,11.968,53.848,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0059366226196289,0.0,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0084161758422851,0.0105619430541992,0.0262022018432617,0.496,1.36,0.0,0.0,115.64,8.264,7.736,53.848,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0092029571533203,0.0115871429443359,0.0218868255615234,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.00762939453125,0.00762939453125,0.0058889389038085,0.0,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0081300735473632,0.0112533569335937,0.0303030014038085,0.496,1.36,0.0,0.0,115.64,7.488,8.464,53.848,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.00762939453125,0.00762939453125,0.0074386596679687,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0109195709228515,0.0112056732177734,0.0213146209716796,0.496,1.36,0.0,0.0,115.64,3.744,4.232,53.848,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0068068504333496,0.0,0.0,0.0,0.0,0.0152587890625,0.0152587890625,0.009322166442871,0.0112295150756835,0.0279903411865234,0.496,1.36,0.0,0.0,115.64,16.528,15.472,53.848,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0121593475341796,0.0121593475341796,0.0063260396321614,0.0073909759521484,0.0096559524536132,0.0085353851318359,0.0107049942016601,0.0166893005371093,0.0166893005371093,0.0080108642578125,0.0098069508870442,0.0215053558349609,0.496,1.36,1.792,1.472,115.64,10.776,11.312,53.848,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0067710876464843,0.0,0.0,0.0,0.0,0.0,0.0,0.0099420547485351,0.0114917755126953,0.0302314758300781,0.0,0.0,0.0,0.0,115.64,7.488,8.464,53.848,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0063419342041015,0.0,0.0,0.0,0.0,0.0,0.0,0.008392333984375,0.0115871429443359,0.029301643371582,0.0,0.0,0.0,0.0,115.64,7.488,8.464,53.848,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0065326690673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0111818313598632,0.0284671783447265,0.0,0.0,0.0,0.0,115.64,16.528,15.472,53.848,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,53.848,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,53.848,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,53.848,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0063180923461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.011444091796875,0.0286102294921875,0.0,0.0,0.0,0.0,115.64,7.488,8.464,53.848,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0064108106825086,0.0,0.0,0.0,0.0,0.0,0.0,0.0091552734375,0.0112490220503373,0.0276565551757812,0.0,0.0,0.0,0.0,115.64,8.016,7.936,53.848,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0064611434936523,0.0,0.0,0.0,0.0,0.0,0.0,0.0086069107055664,0.0110983848571777,0.0280380249023437,0.0,0.0,0.0,0.0,115.64,16.528,15.472,53.848,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,53.848,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,53.848,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0164508819580078,0.0164508819580078,0.0,0.0,0.0,0.848,0.848,0.0,0.0,115.64,0.0,0.0,53.848,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0059339735243055,0.0,0.0,0.0,0.0,0.0,0.0,0.006866455078125,0.011400742964311,0.0317096710205078,0.0,0.0,0.0,0.0,115.64,8.016,7.936,53.848,1
154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.006270408630371,0.0,0.0,0.0,0.0,0.0,0.0,0.0086069107055664,0.0112533569335937,0.0293970108032226,0.0,0.0,0.0,0.0,115.64,7.488,8.464,53.848,1
155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0061511993408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0086069107055664,0.0108242034912109,0.027632713317871,0.0,0.0,0.0,0.0,115.64,16.528,15.472,53.848,1
156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,0.0,0.0,53.848,1
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0,0.0,0.0,0.0082015991210937,0.0081062316894531,0.0111103057861328,0.0112533569335937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.336,11.728,115.64,0.0,0.0,53.848,1
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0126361846923828,0.0126361846923828,0.0062465667724609,0.0,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0086307525634765,0.0113725662231445,0.0289678573608398,0.496,1.36,0.0,0.0,115.64,7.488,8.464,53.848,1
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.013589859008789,0.013589859008789,0.006103515625,0.0082121955023871,0.0092089176177978,0.0109672546386718,0.0127077102661132,0.0085830688476562,0.0085830688476562,0.0086307525634765,0.0111341476440429,0.0288724899291992,0.496,1.36,13.648,21.856,115.64,7.488,8.464,53.848,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0109672546386718,0.0109672546386718,0.0062741731342516,0.0,0.0150203704833984,0.0,0.0150203704833984,0.0090599060058593,0.0090599060058593,0.0084400177001953,0.0109104883103143,0.0281333923339843,0.496,1.36,0.0,0.496,115.64,17.056,14.944,53.848,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0081062316894531,0.0053013072294347,0.0057220458984375,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.496,1.36,0.0,0.0,115.64,0.0,0.0,53.848,1
