time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062305939021368,0.0081062316894531,0.007947285970052,0.006307874407087,0.0077486038208007,0.0088214874267578,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0116825103759765,0.0116825103759765,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,122.456,25.152,27.344,0.0,0.0078678131103515,0.0078678131103515,11.544,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059070871837103,0.0081062316894531,0.0078678131103515,0.006307874407087,0.0077486038208007,0.0078678131103515,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0107288360595703,0.0107288360595703,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0064373016357421,0.0064373016357421,1.192,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064546622118903,0.0089406967163085,0.0039111904510961,0.006307874407087,0.0077486038208007,0.0045299530029296,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0107288360595703,0.0107288360595703,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,139.216,25.152,27.344,0.0,0.0090599060058593,0.0090599060058593,6643.288,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060636605789412,0.0081062316894531,0.00762939453125,0.006307874407087,0.0077486038208007,0.00762939453125,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0095367431640625,0.0095367431640625,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005960464477539,0.0078678131103515,0.0,0.006307874407087,0.0077486038208007,0.0,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0088214874267578,0.0088214874267578,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060653686523437,0.0086069107055664,0.0,0.006307874407087,0.0077486038208007,0.0,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0143051147460937,0.0143051147460937,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063671785242417,0.0090599060058593,0.0039962317439035,0.006307874407087,0.0077486038208007,0.0047683715820312,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0140666961669921,0.0140666961669921,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,124.944,25.152,27.344,0.0,0.0066757202148437,0.0066757202148437,5303.872,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062930583953857,0.0085830688476562,0.0042604363482931,0.006307874407087,0.0077486038208007,0.0049591064453125,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0090599060058593,0.0090599060058593,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.00762939453125,0.00762939453125,252.136,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061644843561732,0.0083446502685546,0.0061988830566406,0.006307874407087,0.0077486038208007,0.0061988830566406,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0081062316894531,0.0081062316894531,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.00762939453125,0.00762939453125,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00604705430975,0.0081062316894531,0.0047683715820312,0.006307874407087,0.0077486038208007,0.0047683715820312,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0104904174804687,0.0104904174804687,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,1.192,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060304480405589,0.0083446502685546,0.0045299530029296,0.006307874407087,0.0077486038208007,0.0045299530029296,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0069141387939453,0.0069141387939453,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.005960464477539,0.005960464477539,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063512383437738,0.0087261199951171,0.0039623505947736,0.006307874407087,0.0077486038208007,0.0047683715820312,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0143051147460937,0.0143051147460937,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,136.248,25.152,27.344,0.0,0.00762939453125,0.00762939453125,4153.816,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060963630676269,0.0081062316894531,0.0038836613174312,0.006307874407087,0.0077486038208007,0.0045299530029296,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0081062316894531,0.0081062316894531,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0100135803222656,0.0100135803222656,1358.312,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00618577003479,0.0081062316894531,0.0,0.006307874407087,0.0077486038208007,0.0,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0088214874267578,0.0088214874267578,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.005960464477539,0.005960464477539,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061277133315356,0.0081062316894531,0.0083446502685546,0.006307874407087,0.0077486038208007,0.0083446502685546,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0109672546386718,0.0109672546386718,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,0.0064373016357421,0.0064373016357421,8.712,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059663952879644,0.0078678131103515,0.0045299530029296,0.006307874407087,0.0077486038208007,0.0045299530029296,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0085830688476562,0.0085830688476562,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.005960464477539,0.005960464477539,1.192,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060197725817931,0.0078678131103515,0.0042915344238281,0.006307874407087,0.0077486038208007,0.0042915344238281,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0088214874267578,0.0088214874267578,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0073909759521484,0.0073909759521484,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059996078263467,0.0081062316894531,0.0083446502685546,0.006307874407087,0.0077486038208007,0.0083446502685546,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0073909759521484,0.0073909759521484,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0085830688476562,0.0085830688476562,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061976968945555,0.0083446502685546,0.0056028366088867,0.006307874407087,0.0077486038208007,0.0068426132202148,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0100135803222656,0.0100135803222656,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,0.0061988830566406,0.0061988830566406,24.144,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059911520174234,0.0081062316894531,0.0041340881923459,0.006307874407087,0.0077486038208007,0.005197525024414,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.013589859008789,0.013589859008789,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,122.384,25.152,27.344,0.0,0.0078678131103515,0.0078678131103515,610.472,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0072413799809474,0.0095367431640625,0.0038869625628705,0.006307874407087,0.0077486038208007,0.0045299530029296,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0176429748535156,0.0176429748535156,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,137.4,25.152,27.344,0.0,0.0107288360595703,0.0107288360595703,28159.488,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066530704498291,0.0083446502685546,0.0047543469597311,0.006307874407087,0.0077486038208007,0.0060558319091796,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0116825103759765,0.0116825103759765,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0083446502685546,0.0083446502685546,154.04,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065404977371443,0.0083446502685546,0.0064373016357421,0.006307874407087,0.0077486038208007,0.0064373016357421,0.0100135803222656,0.0097513198852539,0.0080108642578125,0.0066757202148437,0.0066757202148437,0.0138282775878906,0.0090530940464564,0.0180721282958984,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0069141387939453,0.0069141387939453,1.192,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060356309261228,0.0083446502685546,0.0044107437133789,0.006307874407087,0.0,0.0061988830566406,0.0,0.0,0.0080108642578125,0.0095367431640625,0.0095367431640625,0.0,0.0090530940464564,0.0180721282958984,0,0.496,1.36,0.0,0.0,123.64,25.152,27.344,0.0,0.0069141387939453,0.0069141387939453,126.624,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060933146310682,0.0081062316894531,0.00762939453125,0.006307874407087,0.0,0.00762939453125,0.0,0.0,0.0080108642578125,0.011444091796875,0.011444091796875,0.0,0.0090530940464564,0.0180721282958984,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0073909759521484,0.0073909759521484,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060391426086425,0.0081062316894531,0.0,0.006307874407087,0.0,0.0,0.0,0.0,0.0080108642578125,0.0078678131103515,0.0078678131103515,0.0,0.0090530940464564,0.0180721282958984,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0066757202148437,0.0066757202148437,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060760974884033,0.0083446502685546,0.0,0.006307874407087,0.0,0.0,0.0,0.0,0.0080108642578125,0.0088214874267578,0.0088214874267578,0.0,0.0090530940464564,0.0180721282958984,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0083446502685546,0.0083446502685546,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061009189870097,0.0081062316894531,0.0071525573730468,0.006307874407087,0.0,0.0075340270996093,0.0,0.0,0.0080108642578125,0.0095367431640625,0.0095367431640625,0.0,0.0090530940464564,0.0180721282958984,0,0.496,1.36,0.0,0.0,118.064,25.152,27.344,0.0,0.0073909759521484,0.0073909759521484,5.488,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058901309967041,0.0078916549682617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177621841430664,0.0222444534301757,0.0,0.0,0.0,0,1.344,2.208,0.0,0.0,112.0,0.0,0.0,0.0,0.0056028366088867,0.0060796737670898,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060968731173235,0.0078678131103515,0.0088214874267578,0.0,0.0,0.0088214874267578,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060399373372395,0.0083446502685546,0.0045299530029296,0.0,0.0,0.0045299530029296,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.005960464477539,0.005960464477539,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061727874907688,0.0081062316894531,0.005960464477539,0.0,0.0,0.005960464477539,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060558319091796,0.0078678131103515,0.0,0.0064373016357421,0.0,0.0,0.0,0.0,0.0084877014160156,0.013589859008789,0.013589859008789,0.0,0.011301040649414,0.020456314086914,0,0.496,1.36,0.0,0.0,112.0,4.52,3.504,0.0,0.0073909759521484,0.0073909759521484,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063884258270263,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060868263244628,0.0079154968261718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006113052368164,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00618577003479,0.0085830688476562,0.0,0.0058650970458984,0.0,0.0,0.0,0.0,0.0072956085205078,0.0169277191162109,0.0169277191162109,0.0,0.0114917755126953,0.0216484069824218,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0061988830566406,0.0061988830566406,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060197725817931,0.0078678131103515,0.0083446502685546,0.0058650970458984,0.0,0.0083446502685546,0.0,0.0,0.0073432922363281,0.0104904174804687,0.0104904174804687,0.0,0.0101566314697265,0.019073486328125,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0069141387939453,0.0069141387939453,1.192,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060743360377069,0.0085830688476562,0.0069141387939453,0.006270408630371,0.0,0.0069141387939453,0.0,0.0,0.0088691711425781,0.0140666961669921,0.0140666961669921,0.0,0.0103235244750976,0.0236988067626953,0,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,0.0083446502685546,0.0083446502685546,1.192,0
