time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062949449113271,0.0088214874267578,0.013589859008789,0.013589859008789,0.0164508819580078,0.0164508819580078,0.0083446502685546,0.0062056950160435,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0087261199951171,0.0097138541085379,0.0195503234863281,0.0040562529312936,0.0045299530029296,0.496,1.36,0.848,0.848,27.344,25.152,143.152,0.0,1587.904,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064575672149658,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0083446502685546,0.0062056950160435,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0087261199951171,0.0097138541085379,0.0195503234863281,0.004045298842133,0.0047683715820312,0.496,1.424,0.848,0.848,27.344,25.152,112.0,0.0,1940.248,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063443183898925,0.0086069107055664,0.0071525573730468,0.0071525573730468,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.848,0.848,0.0,0.0,112.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060838253343876,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0081062316894531,0.0081062316894531,0.0083446502685546,0.0069618225097656,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0107526779174804,0.0120162963867187,0.0306367874145507,0.0050067901611328,0.0050067901611328,0.496,1.36,0.848,0.848,7.736,8.264,113.256,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060814530102174,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0083446502685546,0.0060558319091796,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.007939338684082,0.0108003616333007,0.0251054763793945,0.00762939453125,0.00762939453125,0.496,1.36,0.848,0.848,7.736,8.264,113.256,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060209587438782,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0,0.0,0.0,0.0050067901611328,0.0050067901611328,0.496,1.36,0.848,0.848,0.0,0.0,113.256,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060975551605224,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0133514404296875,0.0133514404296875,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,112.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060760974884033,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.00762939453125,0.00762939453125,0.0083446502685546,0.0058650970458984,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.007486343383789,0.0110626220703125,0.0206947326660156,0.0,0.0,0.496,1.36,0.848,0.848,4.232,3.744,112.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060808658599853,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0062465667724609,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0081062316894531,0.0104665756225585,0.0277042388916015,0.0,0.0,0.496,1.36,0.848,0.848,8.464,7.488,112.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060951709747314,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0107288360595703,0.0107288360595703,0.0083446502685546,0.0063419342041015,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0085353851318359,0.0110785166422526,0.0283241271972656,0.0,0.0,0.496,1.36,0.848,0.848,11.968,12.008,112.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060553574443456,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0047683715820312,0.0061988830566406,0.0128746032714843,0.0128746032714843,0.0047683715820312,0.0081300735473632,0.0103712081909179,0.025796890258789,0.0083446502685546,0.0083446502685546,0.496,1.36,0.848,0.848,7.736,8.264,113.256,0.0,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061644843561732,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060150279334528,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059890747070312,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0119209289550781,0.0119209289550781,0.0,0.0059127807617187,0.0,0.0,0.0,0.0076770782470703,0.009918212890625,0.0185489654541015,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061488151550292,0.0078916549682617,0.0073909759521484,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.0,0.0057935714721679,0.0,0.0,0.0,0.0077247619628906,0.01068115234375,0.0277280807495117,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060641765594482,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0064373016357421,0.0064373016357421,0.0,0.005756105695452,0.0,0.0,0.0,0.0074386596679687,0.0107288360595703,0.0270605087280273,0.0,0.0,0.496,1.36,0.0,0.0,11.44,12.536,112.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060582160949707,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.0061511993408203,0.0,0.0,0.0,0.0081062316894531,0.0102996826171875,0.025486946105957,0.0,0.0,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063091961305532,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060123972373433,0.0078439712524414,0.00762939453125,0.00762939453125,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077088673909505,0.0098228454589843,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,16.088,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061419472765566,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0123977661132812,0.0123977661132812,0.0,0.0058174133300781,0.0,0.0,0.0,0.0072956085205078,0.0108242034912109,0.0209808349609375,0.0061988830566406,0.0061988830566406,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063933215095001,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0088214874267578,0.0,0.0063180923461914,0.0,0.0,0.0,0.0086545944213867,0.0107765197753906,0.0272750854492187,0.0039925942054161,0.0047683715820312,0.496,1.424,0.0,0.0,8.464,7.488,134.416,0.0,4081.824,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064467909324228,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0083446502685546,0.0083446502685546,0.0,0.0063180923461914,0.0,0.0,0.0,0.0086784362792968,0.0108182430267333,0.026106834411621,0.0043291794626336,0.0050067901611328,0.496,1.424,0.0,0.0,11.44,12.536,114.84,0.0,460.56,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064811896328902,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.009775161743164,0.009775161743164,0.0,0.0066757202148437,0.0,0.0,0.0,0.0092029571533203,0.0110149383544921,0.0214576721191406,0.004051935554731,0.0050067901611328,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,2028.992,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060090971230274,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0107288360595703,0.0107288360595703,0.0,0.0061511993408203,0.0,0.0,0.0,0.0080108642578125,0.0108718872070312,0.0201702117919921,0.0051950153551603,0.0062942504882812,0.496,1.424,0.0,0.0,3.504,4.52,114.76,0.0,52.296,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062201282765605,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.019073486328125,0.019073486328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053942203521728,0.0064849853515625,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,31.28,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063475995960802,0.008559226989746,0.0064373016357421,0.0064373016357421,0.0095367431640625,0.0095367431640625,0.0,0.0057220458984375,0.0,0.0,0.0,0.0071525573730468,0.0104427337646484,0.0201225280761718,0.0041058430304894,0.0050067901611328,0.496,1.424,0.0,0.0,4.232,3.744,116.368,0.0,1075.36,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063889097459245,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0116825103759765,0.0116825103759765,0.0,0.0064849853515625,0.0,0.0,0.0,0.0079631805419921,0.0118255615234375,0.0221729278564453,0.0040207879017975,0.0050067901611328,0.496,1.424,0.0,0.0,4.232,3.744,118.448,0.0,3105.72,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006256103515625,0.0085830688476562,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0,0.0061137335641043,0.0,0.0,0.0,0.0086069107055664,0.0103116035461425,0.0262260437011718,0.0,0.0,0.496,1.424,0.0,0.0,11.44,12.536,112.0,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061729166767384,0.0087976455688476,0.006270408630371,0.0056028366088867,0.0092983245849609,0.0112056732177734,0.0,0.0064849853515625,0.0,0.0,0.0,0.0080585479736328,0.0112533569335937,0.022125244140625,0.0043012657944036,0.0057220458984375,1.344,2.272,0.0,0.0,4.232,3.744,118.32,0.0,479.624,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064918650916559,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0100135803222656,0.0100135803222656,0.0,0.0060796737670898,0.0,0.0,0.0,0.0081777572631835,0.0104665756225585,0.0257253646850585,0.0038786119464423,0.0045299530029296,0.496,1.424,0.0,0.0,7.736,8.264,117.192,0.0,12592.928,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065428700613145,0.0090599060058593,0.0083446502685546,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042883973372609,0.0056028366088867,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,680.32,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006035566329956,0.0078678131103515,0.00762939453125,0.00762939453125,0.0119209289550781,0.0119209289550781,0.0,0.0059127807617187,0.0,0.0,0.0,0.0072956085205078,0.0115871429443359,0.0220775604248046,0.0,0.0,0.496,1.392,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062951900688885,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.00762939453125,0.00762939453125,0.0,0.0071525573730468,0.0,0.0,0.0,0.0097274780273437,0.010538101196289,0.01983642578125,0.003894855236185,0.0045299530029296,0.496,1.392,0.0,0.0,4.232,3.744,123.64,0.0,1299.424,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063511404660668,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0126361846923828,0.0126361846923828,0.0,0.005960464477539,0.0,0.0,0.0,0.008249282836914,0.01068115234375,0.0262737274169921,0.0040402283539643,0.0050067901611328,0.496,1.424,0.0,0.0,11.968,12.008,117.12,0.0,1913.144,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068232564642877,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0193119049072265,0.0193119049072265,0.0,0.0067710876464843,0.0,0.0,0.0,0.0092029571533203,0.0113487243652343,0.0208854675292968,0.0039199103227993,0.0045299530029296,0.496,1.424,0.0,0.0,4.232,3.744,117.12,0.0,10573.856,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066472523248017,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0066280364990234,0.0,0.0,0.0,0.0091791152954101,0.0105857849121093,0.0265836715698242,0.0043769677480061,0.0050306320190429,0.496,1.424,0.0,0.0,7.736,8.264,117.192,0.0,895.584,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066578388214111,0.0081300735473632,0.0088214874267578,0.0088214874267578,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004479225645674,0.0058174133300781,0.496,1.424,0.0,0.0,0.0,0.0,116.632,0.0,363.384,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071086693758988,0.0100135803222656,0.0107288360595703,0.0107288360595703,0.0104904174804687,0.0104904174804687,0.0,0.0058174133300781,0.0,0.0,0.0,0.0074386596679687,0.0107765197753906,0.0209331512451171,0.0038983377798125,0.0045299530029296,0.496,1.424,0.0,0.0,4.232,3.744,115.16,0.0,17721.544,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060933146310682,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0126361846923828,0.0126361846923828,0.0,0.0058174133300781,0.0,0.0,0.0,0.0072479248046875,0.010538101196289,0.0199794769287109,0.0046766721285306,0.0059127807617187,0.496,1.424,0.0,0.0,4.232,3.744,115.16,0.0,96.936,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060206592673122,0.0080823898315429,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0,0.0063101450602213,0.0,0.0,0.0,0.0083446502685546,0.010840098063151,0.026559829711914,0.0041806420614553,0.0050067901611328,0.496,1.392,0.0,0.0,11.968,12.008,118.448,0.0,1192.44,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061882604466806,0.008559226989746,0.0081062316894531,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0058650970458984,0.0,0.0,0.0,0.0073432922363281,0.0102996826171875,0.0194072723388671,0.0047683715820312,0.0054836273193359,0.496,1.424,0.0,0.0,4.232,3.744,116.736,0.0,21.872,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061811787067073,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0116825103759765,0.0116825103759765,0.0066757202148437,0.006103515625,0.0079870223999023,0.0105619430541992,0.0074386596679687,0.0081300735473632,0.0103712081909179,0.0241518020629882,0.0041649404880219,0.0052452087402343,0.496,1.424,1.696,1.696,7.736,8.264,115.552,0.0,1245.976,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060494266339202,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047286351521809,0.0072240829467773,0.496,1.392,0.0,0.0,0.0,0.0,114.584,0.0,169.104,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066982572944603,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.011444091796875,0.011444091796875,0.0,0.0063419342041015,0.0,0.0,0.0,0.008392333984375,0.010538101196289,0.019693374633789,0.0039357405442457,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,115.352,0.0,7118.208,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064242538528062,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0112056732177734,0.0112056732177734,0.0,0.006866455078125,0.0,0.0,0.0,0.008392333984375,0.0114917755126953,0.0224113464355468,0.0042915344238281,0.005507469177246,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,281.824,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069570541381835,0.009322166442871,0.0066757202148437,0.0066757202148437,0.0078678131103515,0.0078678131103515,0.0,0.006028584071568,0.0,0.0,0.0,0.0084400177001953,0.0104308128356933,0.0251531600952148,0.0039964108853726,0.0047683715820312,0.496,1.392,0.0,0.0,11.44,12.536,114.28,0.0,7190.528,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070144634435672,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0169277191162109,0.0169277191162109,0.0,0.0063896179199218,0.0,0.0,0.0,0.0084877014160156,0.0119209289550781,0.0224113464355468,0.0040406113737946,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,117.12,0.0,5750.672,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006095017537032,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.009775161743164,0.009775161743164,0.0,0.0061273574829101,0.0,0.0,0.0,0.0083684921264648,0.0116825103759765,0.0301837921142578,0.0042170286178588,0.0052452087402343,0.496,1.424,0.0,0.0,7.736,8.264,118.448,0.0,327.6,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060411234993246,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045299530029296,0.0045299530029296,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064597271456576,0.009012222290039,0.0109672546386718,0.0109672546386718,0.0083446502685546,0.0083446502685546,0.0,0.0060081481933593,0.0,0.0,0.0,0.0076770782470703,0.0101566314697265,0.0191211700439453,0.0038806015883034,0.0045299530029296,0.496,1.424,0.0,0.0,4.232,3.744,120.032,0.0,16768.224,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006363759586467,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0,0.006866455078125,0.0,0.0,0.0,0.0084877014160156,0.0108242034912109,0.0207424163818359,0.004955700465611,0.0059843063354492,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,50.896,0
